         130 	-14.3587 	-1.54136 	-44.9829 	-54.1874 	-1.54292 	-19.455 	-53.7117 	-45.8813 	-44.9594 	-53.4743 	-14.1807 	-1.57533 	-54.2101 	-45.8545 	-1.57565 	-15.3589
         140 	-15.6948 	-1.57615 	-44.5918 	-54.2247 	-1.57735 	-26.0829 	-52.9714 	-45.2973 	-44.5854 	-52.7957 	-15.2724 	-1.63631 	-54.2471 	-45.2616 	-1.63622 	-15.7866
         150 	-15.7118 	-1.6656 	-46.0831 	-51.221 	-1.66728 	-22.2175 	-49.6614 	-45.7128 	-46.0797 	-49.562 	-17.9922 	-1.71674 	-51.2231 	-45.6892 	-1.71618 	-16.8153
         160 	-13.7554 	-1.76811 	-45.377 	-50.9296 	-1.76985 	-16.5267 	-49.3548 	-45.4782 	-45.3657 	-49.3527 	-25.144 	-1.72923 	-50.9939 	-45.4284 	-1.72816 	-18.195
         170 	-11.7319 	-1.93784 	-45.4352 	-49.7432 	-1.9398 	-13.6697 	-48.6794 	-45.2027 	-45.3975 	-48.6608 	-24.6848 	-1.79321 	-49.7403 	-45.1698 	-1.79246 	-17.8771
         180 	-10.5123 	-2.08191 	-45.412 	-48.9572 	-2.08356 	-12.4344 	-47.9008 	-44.7429 	-45.405 	-47.7857 	-17.1668 	-1.91674 	-49.1005 	-44.6924 	-1.91643 	-15.6575
         190 	-10.0645 	-2.17595 	-45.7246 	-49.0294 	-2.17797 	-12.4568 	-47.7101 	-44.8415 	-45.7302 	-47.4706 	-13.6148 	-2.06326 	-49.2636 	-44.8411 	-2.06382 	-13.5697
         200 	-10.2883 	-2.2072 	-46.4471 	-49.0871 	-2.21019 	-13.6984 	-47.6534 	-45.3125 	-46.464 	-47.5293 	-11.9884 	-2.19392 	-49.2588 	-45.299 	-2.19506 	-12.3579
         210 	-10.9946 	-2.20682 	-47.7406 	-49.0753 	-2.2103 	-16.4113 	-47.9985 	-46.4367 	-47.8385 	-47.8828 	-11.7314 	-2.27612 	-49.0695 	-46.3795 	-2.27732 	-12.162
         220 	-11.6491 	-2.26926 	-51.7613 	-48.2211 	-2.2726 	-20.087 	-50.2348 	-47.1357 	-51.8777 	-50.0345 	-12.7607 	-2.35153 	-48.2004 	-47.2079 	-2.35109 	-13.0609
         230 	-11.9535 	-2.29992 	-54.974 	-45.6618 	-2.30471 	-18.8933 	-48.1132 	-46.9036 	-55.1244 	-48.1183 	-16.1082 	-2.34409 	-45.6132 	-46.9803 	-2.34302 	-14.2911
         240 	-10.8206 	-2.42613 	-60.044 	-45.5754 	-2.43171 	-14.8257 	-47.6763 	-49.8471 	-59.7313 	-47.7655 	-25.9695 	-2.37152 	-45.545 	-50.005 	-2.37063 	-15.4765
         250 	-9.46855 	-2.63247 	-58.5713 	-44.6682 	-2.63878 	-12.4012 	-46.8953 	-49.7558 	-57.4939 	-46.9619 	-22.0624 	-2.51044 	-44.5786 	-49.7937 	-2.50958 	-14.22
         260 	-8.52906 	-2.80595 	-53.6075 	-44.27 	-2.81191 	-11.2662 	-45.7107 	-48.7382 	-53.0059 	-45.7281 	-14.0487 	-2.77091 	-44.2357 	-48.6624 	-2.77031 	-11.7384
         270 	-8.12426 	-2.91661 	-52.0809 	-44.4434 	-2.9219 	-11.2579 	-44.5214 	-46.4471 	-51.782 	-44.588 	-10.6294 	-3.04098 	-44.4101 	-46.325 	-3.04093 	-9.83459
         280 	-8.16626 	-2.95759 	-53.3948 	-44.1778 	-2.96466 	-12.287 	-44.2059 	-46.5048 	-53.3822 	-44.1749 	-9.02205 	-3.25434 	-44.1166 	-46.5328 	-3.25729 	-8.79602
         290 	-8.48149 	-2.97981 	-58.079 	-43.2181 	-2.988 	-14.3131 	-44.3845 	-48.54 	-57.4479 	-44.2587 	-8.61919 	-3.37069 	-43.2441 	-48.5871 	-3.37486 	-8.75053
         300 	-8.85955 	-3.11098 	-54.1786 	-41.8378 	-3.1207 	-16.6742 	-41.3253 	-52.7124 	-54.171 	-41.3231 	-9.60851 	-3.37049 	-41.815 	-52.8378 	-3.37398 	-9.86137
         310 	-9.0872 	-3.06607 	-51.515 	-41.0978 	-3.0754 	-15.951 	-40.5038 	-51.9184 	-51.1028 	-40.5797 	-12.7145 	-3.2363 	-40.9516 	-51.8706 	-3.23488 	-11.9916
         320 	-8.3165 	-3.22466 	-44.4532 	-40.2513 	-3.23481 	-13.1657 	-38.4344 	-43.3544 	-44.2398 	-38.4558 	-19.246 	-3.24345 	-40.1151 	-43.2577 	-3.24011 	-14.6947
         330 	-7.38381 	-3.47905 	-41.0409 	-39.1698 	-3.49257 	-11.2459 	-37.0435 	-38.8883 	-40.8751 	-37.0879 	-17.2805 	-3.56362 	-39.0457 	-38.8232 	-3.56291 	-12.936
         340 	-6.66529 	-3.70016 	-39.0708 	-39.0328 	-3.71589 	-10.2773 	-36.2493 	-36.6146 	-38.9264 	-36.3359 	-10.8035 	-4.16436 	-38.8971 	-36.5235 	-4.16709 	-9.49157
         350 	-6.31014 	-3.84117 	-38.3663 	-38.9742 	-3.85692 	-10.2278 	-35.8538 	-35.1692 	-38.2881 	-35.9094 	-7.71476 	-4.80528 	-38.9294 	-35.1451 	-4.81087 	-7.36935
         360 	-6.24033 	-3.91769 	-38.7886 	-39.0292 	-3.93296 	-11.0238 	-36.2271 	-34.8174 	-38.711 	-36.2014 	-6.23185 	-5.33192 	-39.023 	-34.7541 	-5.34141 	-6.21446
         370 	-6.33534 	-3.99433 	-40.6053 	-39.446 	-4.00925 	-12.5073 	-37.8524 	-35.5611 	-40.5682 	-37.7597 	-5.80784 	-5.61919 	-39.5213 	-35.5311 	-5.6309 	-5.97727
         380 	-6.64352 	-4.1817 	-41.1335 	-38.1406 	-4.1958 	-14.2349 	-39.4127 	-36.7764 	-41.0499 	-39.214 	-6.56712 	-5.44783 	-38.1316 	-36.7255 	-5.45517 	-6.55549
         390 	-6.80545 	-4.07945 	-42.8329 	-36.0154 	-4.09495 	-13.7943 	-35.5611 	-38.8674 	-42.8515 	-35.4363 	-8.47471 	-5.30715 	-36.0558 	-38.7648 	-5.30804 	-8.22666
         400 	-6.22723 	-4.29323 	-39.4555 	-34.8941 	-4.30888 	-11.746 	-32.8412 	-48.7595 	-39.376 	-32.7563 	-11.4826 	-5.6179 	-34.8857 	-48.3386 	-5.61484 	-11.737
         410 	-5.53036 	-4.63627 	-35.4265 	-34.3126 	-4.6528 	-10.1722 	-30.7547 	-42.0881 	-35.2822 	-30.7124 	-9.8052 	-6.47459 	-34.2646 	-42.3002 	-6.47733 	-16.033
         420 	-4.94707 	-4.96712 	-34.2267 	-35.4396 	-4.98619 	-9.31525 	-31.1284 	-38.8044 	-34.1224 	-31.0538 	-6.86492 	-7.36549 	-35.488 	-38.8965 	-7.38457 	-13.5003
         430 	-4.60582 	-5.18265 	-34.6895 	-37.3372 	-5.2016 	-9.1001 	-32.2291 	-43.4437 	-34.6505 	-32.1064 	-5.32637 	-7.89105 	-37.5883 	-43.5987 	-7.91892 	-8.22382
         440 	-4.45655 	-5.33041 	-35.6333 	-38.1586 	-5.34719 	-9.56546 	-32.5521 	-41.7452 	-35.5654 	-32.3793 	-4.43421 	-8.76454 	-38.538 	-41.6436 	-8.79735 	-5.40261
         450 	-4.43079 	-5.50791 	-37.1924 	-37.5533 	-5.52202 	-10.6034 	-32.4886 	-34.6475 	-37.0119 	-32.3237 	-4.33797 	-9.92988 	-37.857 	-34.6224 	-9.97012 	-4.56044
         460 	-4.73496 	-5.74401 	-39.5643 	-37.4194 	-5.75016 	-12.1153 	-34.9693 	-32.857 	-39.3047 	-34.7719 	-5.64079 	-9.19006 	-37.6532 	-32.8422 	-9.21345 	-5.41088
         470 	-4.93895 	-5.50673 	-36.122 	-37.9404 	-5.51398 	-12.2357 	-35.2166 	-32.2732 	-35.9403 	-35.0893 	-5.47231 	-7.96319 	-38.1975 	-32.285 	-7.97486 	-7.24302
         480 	-4.53848 	-5.72915 	-33.8769 	-37.4701 	-5.74458 	-10.9002 	-34.0108 	-31.9968 	-33.7991 	-33.8973 	-5.34543 	-7.74916 	-37.7302 	-31.9816 	-7.75591 	-12.5029
         490 	-4.08142 	-6.14284 	-32.96 	-37.99 	-6.16153 	-9.6676 	-32.9774 	-33.0001 	-32.9588 	-32.853 	-5.27736 	-8.41874 	-38.286 	-32.9389 	-8.42622 	-23.548
         500 	-3.66913 	-6.57658 	-33.0801 	-38.2524 	-6.59113 	-8.91317 	-32.6044 	-34.934 	-33.1447 	-32.4191 	-4.66559 	-10.0234 	-38.6002 	-34.8412 	-10.0432 	-9.23009
